Source File,Record ID,Indication,Intervention,Comparator,Intervention Type,Outcome Direction,Intervention Cluster,Cluster X,Cluster Y
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-29,depression,Pozik-Bizi,Cooperative play program,Behavioral,Positive,4,0.009335908618016444,0.00015074668530159997
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-31,major depressive disorder || obesity,Behavioral weight control + CBT,Behavioral weight control,Combination Product,Neutral,4,0.023101519209407367,0.007355774445042949
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-32,major depressive disorder || obesity,Behavioral weight control,CBT,Behavioral,Neutral,4,0.03413094586816095,0.009019897808848914
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-33,major depressive disorder || obesity,CBT,Behavioral weight control + CBT,Behavioral,Neutral,3,0.0576015300600216,0.013138962904783509
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-34,depression,Listening Visits,Waitlist,Behavioral,Positive,4,0.005743598526664019,0.0035825817660895994
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-35,major depressive disorder,Same|||800 mg/day,Placebo,Dietary Supplement,Neutral,1,0.003211221165441793,0.2726485011410331
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-36,major depressive disorder,Same|||800 mg/day,Placebo,Dietary Supplement,Positive,1,0.003211221165441793,0.2726485011410331
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-37,major depressive disorder,Escitalopram|||,Sertraline|||,Drug,Neutral,4,0.002588353915273888,0.03434471749020438
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-38,major depressive disorder,Escitalopram|||,Venlafaxine|ER||,Drug,Neutral,4,0.00246623107313296,0.032167809822830414
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-39,major depressive disorder,Sertraline|||,Venlafaxine|ER||,Drug,Neutral,4,0.0014787172738311117,0.029278775419175257
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-40,major depressive disorder || cancer,high saturated fat meal,high oleic sunflower oil meal,Dietary Supplement,Positive,4,0.0001809112268223653,0.0008329560170602329
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-41,major depressive disorder || cancer,high oleic sunflower oil meal,high saturated fat meal,Dietary Supplement,Neutral,4,0.0001809112268223653,0.0008329560170602329
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-42,major depressive disorder || cancer,high saturated fat meal,high oleic sunflower oil meal,Dietary Supplement,Positive,4,0.0001809112268223653,0.0008329560170602329
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-43,,school support intervention,Control,Procedure,Positive,2,0.021526071118685087,0.00734033580318223
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-44,major depressive disorder || anxiety,Venlafaxine|ER||,Placebo,Drug,Positive,4,0.003773404943182004,0.2384065397088267
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-45,major depressive disorder || anxiety,Venlafaxine|ER||,Placebo,Drug,Positive,4,0.003773404943182004,0.2384065397088267
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-46,major depressive disorder,multidomain intervention,supportive therapy,Combination Product,Positive,4,0.021270436386325545,0.004892545453079776
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-47,major depressive disorder || cancer || anxiety,behavior activation,problem-solving therapy,Behavioral,Positive,4,0.01760908643636899,0.002131444158000821
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-48,depression || anxiety || parkinson disease,CBT,Usual care,Behavioral,Positive,5,0.7143227034202324,-0.0011739776810850851
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-49,major depressive disorder || anxiety,Behavioral activation,Usual care,Behavioral,Mixed or Unknown,5,0.36328822355333373,-0.006790121541131691
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-50,depression,iRest meditation,Vacation,Behavioral,Neutral,4,0.0016486827097294857,0.00010078948086385592
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-51,treatment-resistant depression,Nitrous Oxide 50%||inhalation|,Placebo,Other,Positive,4,0.0024944132485402505,0.20083292622351118
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-52,,CBP,Usual care,Behavioral,Positive,5,0.3631264661445705,-0.0073433576851006065
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-53,depression || anxiety,EMOTION,Control,Behavioral,Positive,2,0.007067597692882001,0.008453382625449151
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-54,depression || anxiety,EMOTION,Control,Behavioral,Positive,2,0.007067597692882001,0.008453382625449151
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-55,anxiety,EMOTION,Control,Behavioral,Neutral,2,0.007067597692882001,0.008453382625449151
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-56,depression,GermanIMPACT,Usual care,Other,Positive,5,0.9643459172860044,-0.01940933526535661
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-57,bipolar depression || unipolar depressive disorder,tDCS,Sham,Device,Neutral,4,0.0006404593901391321,0.0034702647211822544
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-58,unipolar depressive disorder,tDCS,Sham,Device,Negative,4,0.0006404593901391321,0.0034702647211822544
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-59,bipolar depression,tDCS,Sham,Device,Neutral,4,0.0006404593901391321,0.0034702647211822544
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-60,depression,Written lifestyle recommendations,Control,Dietary Supplement,Neutral,2,0.006460681278527672,0.0048670357713098255
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-61,schizophrenia || schizoaffective,PoMeT,Usual care,Behavioral,Positive,5,0.9643459172860044,-0.01940933526535661
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-62,depressive episode,c-MeST,Waitlist,Behavioral,Positive,4,0.013654606942433907,0.010569501651563977
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-63,depressive episode,c-MeST,Waitlist,Behavioral,Positive,4,0.013654606942433907,0.010569501651563977
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-64,depression,MBCT,,Behavioral,Mixed or Unknown,4,0.010747495579235648,-4.7244148395207035e-05
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-65,major depressive disorder,Placebo,No intervention,Other,Positive,4,0.024115423869557714,0.29453994003075296
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-66,major depressive disorder,Placebo,No intervention,Other,Positive,4,0.024115423869557714,0.29453994003075296
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-67,depression || hiv infection || methamphetamine use,Saffron|||,Placebo,Dietary Supplement,Positive,4,0.0028419807804216557,0.22916004838647033
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-68,Anxious Distress Depression,Escitalopram|ER + Sertraline|ER + Venlafaxine|ER,,Drug,Mixed or Unknown,4,0.002269015164106273,0.03763095829574352
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-69,unipolar depressive disorder,D-MCT,General health training,Behavioral,Neutral,4,0.005551406290339054,0.0016167440344209074
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-70,,MBCL,Usual care,Behavioral,Positive,5,0.9643459172860044,-0.01940933526535661
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-71,subthreshold depression || anxiety,BAM,Usual care,Behavioral,Positive,5,0.9643459172860044,-0.01940933526535661
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-73,depression || insomnia,iCBT,iCBT,Behavioral,Positive,4,0.014942729993019134,-0.00013422010321491274
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-74,Psychotic Depression,Imipramine + Venlafaxine + Quetiapine,,Combination Product,Negative,4,0.0002419991190025109,0.007830604005711152
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-75,major depressive disorder,Psychotherapy Pharmacotherapy|||,,Drug,Positive,4,0.002584811875475917,0.0010541006310601792
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-77,major depressive disorder,DIT,LIT,Behavioral,Positive,4,7.702307140592911e-10,7.590426545296206e-09
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-78,major depressive disorder,DIT,CBT,Behavioral,Neutral,3,0.1308615501450786,0.02387727243875707
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-79,major depressive disorder,Surah Al-Rehman recitation,relaxation music,Behavioral,Positive,4,0.002440571655452946,0.0004784350066681633
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-80,depression,iCBT,,Behavioral,Positive,4,0.01779116316956438,-0.0001590121935768344
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-81,menopausal transition,health coaching,Usual care,Behavioral,Positive,5,0.31924107043268546,-0.006350208681631794
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-82,preterm delivery,FNI,Standard care,Behavioral,Positive,6,0.25833540341567407,-0.004676995439699545
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-83,depression || hiv infection || anxiety,Antidepressant|||,,Drug,Neutral,4,0.0020705147138710377,0.009636745842701796
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-84,depression,transcranial random noise stimulation,Sham,Device,Neutral,4,0.0010304050412026165,0.0009060251313678339
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-85,major depressive disorder,Psychological treatment,,Behavioral,Positive,4,0.005569788336375288,-2.0547407720791355e-05
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-86,depression,iCBT,Usual care,Behavioral,Positive,5,0.4875877670655858,-0.009871476465820227
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-87,depression,Exercise,Usual care,Behavioral,Positive,5,0.666918662504355,-0.00356401337640707
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-88,depression,Usual care,Usual care,Behavioral,Positive,5,0.8560122769395923,-0.017567829706207745
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-89,major depressive disorder,IPT,Usual care,Behavioral,Positive,5,0.4375309796010484,-0.006430872466531902
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-90,major depressive disorder,PeGT,Usual care,Behavioral,Positive,5,0.9643459172860044,-0.01940933526535661
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-91,major depressive disorder,Usual care,Usual care,Other,Positive,5,0.8560122769395923,-0.017567829706207745
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-92,depression || hiv infection || substance use || injection drug use,CBT,Usual care,Behavioral,Positive,5,0.7143227034202324,-0.0011739776810850851
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-93,depression,D-MCT,HT,Behavioral,Positive,4,0.002107340863988979,0.00013285427631454005
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-94,major depressive disorder,CT,Placebo,Behavioral,Positive,4,0.004996211423777269,0.23522702462812675
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-96,depression,CBT,Placebo,Behavioral,Neutral,3,0.06192520506596967,0.3278635963442701
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-97,depression,Meds|||,Placebo,Drug,Neutral,7,0.012067381573906716,0.9672357958047149
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-98,depression,COMB,Placebo,Combination Product,Neutral,7,0.012067381573906716,0.9672357958047149
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-99,major depressive disorder || anxiety,Detached mindfulness,Usual care,Behavioral,Positive,5,0.6633573106177529,-0.012987949086331496
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-100,Peripartum Depression || anxiety,Motivational interviewing,Usual care,Behavioral,Positive,5,0.3031302695415755,-0.005524508749198778
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-101,major depressive disorder,CBT,FLX,Behavioral,Neutral,4,0.0386197865124726,0.0083791785816264
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-102,major depressive disorder,FLX|||,CBT,Drug,Neutral,3,0.0545036423736333,0.011801953855929597
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-103,major depressive disorder,CBT + FLX,CBT,Combination Product,Neutral,3,0.06861278171954428,0.01370771324133416
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-104,major depressive disorder,CBT + FLX,FLX,Combination Product,Neutral,4,0.02593282304449309,0.006498655977145234
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-105,,Collaborative care,Usual care,Behavioral,Positive,5,0.5437386672636965,-0.011612751613689444
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-106,depression,ISTDP,Waitlist,Behavioral,Positive,4,0.007445417586548088,0.0044789122174383605
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-107,major depressive disorder,Exercise,Light stretching,Behavioral,Positive,4,0.03867438373270686,0.010087869222355075
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-108,unipolar depressive disorder,Placebo,Usual care,Other,Positive,5,0.8528818036976602,0.4451551426370243
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-109,alzheimer's disease,Benefit-finding,Usual care,Behavioral,Positive,5,0.30806197696630494,-0.006181042519453496
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-110,,Cognitive AS treatment,Control,Behavioral,Positive,2,0.017741091865641864,0.012777516391625722
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-111,major depressive disorder,PATH,ST-CI,Behavioral,Positive,4,0.0003947001693850665,0.0021781392303610436
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-112,depression,Pranic Healing,Mock Pranic Healing,Other,Positive,4,0.0,0.0
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-113,methamphetamine use,Exercise,Education,Behavioral,Positive,4,0.06154886834207579,0.008497747781419429
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-114,depression || executive dysfunction,Problem-solving therapy,Supportive therapy,Behavioral,Neutral,4,0.01756713099425416,0.003408325186276897
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-115,depression,CBT,Usual care,Behavioral,Positive,5,0.7143227034202324,-0.0011739776810850851
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-116,unipolar depressive disorder,Triple chronotherapy,Alternative protocol,Behavioral,Neutral,4,0.00233097911256347,-2.096837058863486e-05
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-117,depression || hiv infection,Depression alleviation,,Other,Positive,4,0.008905277302551006,-0.00011639325268989563
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-118,depression || severe,Behavioral activation + Cognitive Behavioral Analysis System of Psychotherapy,,Combination Product,Positive,4,0.013287334945133067,0.0010944040324757027
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-119,depression,Savoring an exciting memory,Control,Behavioral,Positive,2,0.0059985861813569895,0.005876808922896753
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-120,depression,Savoring a calm memory,Control,Behavioral,Neutral,2,0.005634177083517498,0.004700568237311829
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-121,depression,CPAP,Waitlist,Device,Positive,4,0.007232573003321946,0.004916488612429155
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-122,depression || heart disease || diabetes,AHH,Usual care,Behavioral,Mixed or Unknown,5,0.9643459172860044,-0.01940933526535661
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-123,depression || cancer || anxiety,Behavioral activation,Waitlist,Behavioral,Positive,4,0.013042132117149321,0.003377532726198243
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-124,depression || cancer || anxiety,Acceptance and Commitment Therapy,Waitlist,Behavioral,Positive,4,0.009901276233432161,0.004504344418411569
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-125,major depressive disorder,Antidepressive medications + CBT,Antidepressive medications + Dynamic psychotherapy,Combination Product,Positive,4,0.025287890131095093,0.004692758422783787
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-126,depressive disorder,Escitalopram|||,Usual care,Drug,Neutral,5,0.6790810288436349,0.013666026266595938
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-127,depression,ESM self-monitoring intervention,Control,Behavioral,Positive,4,0.019480187981798153,0.006080630706204564
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-128,major depressive disorder,Behavioral activation,Behavioral activation,Behavioral,Neutral,4,0.011356089123703368,0.0004583465792120324
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-129,depression,Positive Psychology for Overcoming Depression (self-help book),CBT,Dietary Supplement,Neutral,4,0.033441070819684476,0.004804104485774533
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-130,Melancholic Depression,Venlafaxine|||,Imipramine|||,Drug,Positive,4,0.00032300110751134976,0.007368319352061874
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-131,Melancholic Depression,Imipramine|||,Venlafaxine|||,Drug,Positive,4,0.00023924872601004715,0.0054742808373599225
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-132,depression,Boost Me (behavioral app),Waitlist,Other,Positive,4,0.010470202800014252,0.00344588538620863
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-133,depression,Thought Challenger (cognitive app),Waitlist,Other,Positive,4,0.007971395351729247,0.0032060122085752437
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-134,subthreshold depression,Behavioral activation,Usual care,Combination Product,Positive,5,0.36328822355333373,-0.006790121541131691
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-135,treatment-resistant depression,adTMS,,Radiation,Positive,4,0.0,0.0
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-136,treatment-resistant depression,adTMS,,Radiation,Positive,4,0.0,0.0
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-137,depression,hf-tRNS,Sham,Radiation,Neutral,4,0.00030310016554743237,0.00105075780245806
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-138,major depressive disorder,Fludrocortisone|||,Placebo,Drug,Negative,4,0.002660460025044619,0.21472540986096572
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-139,major depressive disorder || schizophrenia spectrum disorders,MCT,Usual care,Behavioral,Positive,5,0.5437419785494942,-0.010798897110686856
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-141,major depressive disorder || copd || anxiety,PSA,PID-C,Behavioral,Neutral,4,6.375686863175995e-06,1.4071696655864692e-05
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-142,depression,Trauma-focused therapy,Usual care,Behavioral,Positive,5,0.2953725909526311,-0.004022015719349798
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-143,depression,Trauma-focused therapy,Assertiveness training,Behavioral,Positive,4,0.009178084647234169,0.003344194391344685
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-144,Peripartum Depression || anxiety,Acupuncture,Usual care,Other,Positive,5,0.45132674218677,-0.007729648217036211
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-145,Peripartum Depression || anxiety,Acupuncture,Progressive muscle relaxation,Other,Positive,4,0.00302115330253398,0.001141714740634361
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-146,Peripartum Depression || anxiety,Acupuncture,Usual care,Other,Positive,5,0.45132674218677,-0.007729648217036211
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-147,Peripartum Depression || anxiety,Acupuncture,Progressive muscle relaxation,Other,Positive,4,0.00302115330253398,0.001141714740634361
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-148,depression || anxiety,MBCT,Control,Behavioral,Positive,2,0.010871753136180043,0.006126369499166607
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-149,depression,telephone-delivered mutual peer support,Usual care,Behavioral,Neutral,5,0.2668234359745809,-0.005194016846363234
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-150,major depressive disorder,psychotherapy,,Behavioral,Positive,4,0.003171525852017872,0.0012847947498229905
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-151,depressive episode,Placebo,No intervention,Other,Mixed or Unknown,4,0.024115423869557714,0.29453994003075296
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-152,depressive episode,Placebo,Placebo,Other,Neutral,7,0.006950558468299786,0.5614060287685124
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-153,depression || diabetes,Collaborative care,Usual care,Behavioral,Neutral,5,0.5437386672636965,-0.011612751613689444
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-154,major depressive disorder,Goal Management Training,Computerized cognitive training,Behavioral,Neutral,4,0.00963966390834061,0.0027499698407623284
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-155,depressive disorder,A-BAP,Uncontrolled evidenced-based practice for depression,Behavioral,Neutral,4,0.01383161735688366,0.00027299088460001225
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-156,depression,BE-ACTIV,,Behavioral,Positive,4,0.0,0.0
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-157,treatment-resistant depression,DBS,,Device,Positive,4,5.636397695119061e-06,3.512027462956821e-05
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-158,treatment-resistant depression,DBS,,Device,Positive,4,5.636397695119061e-06,3.512027462956821e-05
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-159,treatment-resistant depression,DBS,,Device,Positive,4,5.636397695119061e-06,3.512027462956821e-05
Step2C_population_standardized_output.xlsx,S2-Step1-cleaned-abstracts-160,depressive symptoms,online depression intervention,Attention control,Behavioral,Neutral,2,0.020013355635906036,0.006388254634451486
